=== iter1: crafty+F736+domain (old champion) ===
22:50:43 Grounding...
22:50:44 Grounding done (1.50s)
22:50:44 Solving...
22:50:45 Model found (2.36s): [-72, -5392]
22:50:46 Model found (2.96s, +0.00s): [-72, -8522]
22:50:46 Model found (2.96s, +0.00s): [-72, -8532]
22:50:46 Model found (2.96s, +0.00s): [-72, -8542]
22:50:46 Model found (2.96s, +0.00s): [-72, -8552]
22:50:46 Model found (2.96s, +0.00s): [-72, -8562]
22:50:46 Model found (2.97s, +0.00s): [-72, -8572]
22:50:46 Model found (2.97s, +0.00s): [-72, -8582]
22:50:46 Model found (2.97s, +0.00s): [-72, -8592]
22:50:46 Model found (2.97s, +0.00s): [-72, -8602]
22:50:46 Model found (2.97s, +0.00s): [-72, -8612]
22:50:46 Model found (2.98s, +0.00s): [-72, -8622]
22:50:46 Model found (2.98s, +0.00s): [-72, -8632]
22:50:46 Model found (2.98s, +0.00s): [-72, -8642]
22:50:46 Model found (2.98s, +0.00s): [-72, -8652]
22:50:46 Model found (2.98s, +0.00s): [-72, -8662]
22:50:46 Model found (2.99s, +0.00s): [-72, -8672]
22:50:46 Model found (2.99s, +0.00s): [-72, -8682]
22:50:46 Model found (2.99s, +0.00s): [-72, -8692]
22:50:46 Model found (2.99s, +0.00s): [-72, -8702]
22:50:46 Model found (2.99s, +0.00s): [-72, -8712]
22:50:46 Model found (3.00s, +0.00s): [-72, -8722]
22:50:46 Model found (3.00s, +0.00s): [-72, -8732]
22:50:46 Model found (3.00s, +0.00s): [-72, -8742]
22:50:46 Model found (3.00s, +0.00s): [-72, -8752]
22:50:46 Model found (3.00s, +0.00s): [-72, -8762]
22:50:46 Model found (3.01s, +0.00s): [-72, -8772]
22:50:46 Model found (3.01s, +0.00s): [-72, -8782]
22:50:46 Model found (3.01s, +0.00s): [-72, -8792]
22:50:46 Model found (3.01s, +0.00s): [-72, -8802]
22:50:46 Model found (3.01s, +0.00s): [-72, -8812]
22:50:46 Model found (3.02s, +0.00s): [-72, -8822]
22:50:46 Model found (3.02s, +0.00s): [-72, -8832]
22:50:46 Model found (3.02s, +0.00s): [-72, -8842]
22:50:46 Model found (3.02s, +0.00s): [-72, -8852]
22:50:46 Model found (3.02s, +0.00s): [-72, -8862]
22:50:46 Model found (3.03s, +0.00s): [-72, -8872]
