Domain options require heuristic 'Domain'!
17:05:45 Grounding...
17:05:45 Grounding done (0.29s)
17:05:45 Solving...
17:05:46 Model found (1.17s): [-92, -245]
17:06:46 Model found (60.52s, +0.07s): [-380, -1413]
17:06:46 Model found (60.59s, +0.07s): [-380, -1414]
17:06:46 Model found (60.66s, +0.07s): [-380, -1415]
17:06:46 Model found (60.72s, +0.06s): [-380, -1416]
17:06:46 Model found (60.80s, +0.08s): [-380, -1417]
17:06:46 Model found (60.86s, +0.06s): [-380, -1418]
17:06:46 Model found (60.95s, +0.08s): [-380, -1419]
17:06:46 Model found (61.00s, +0.05s): [-380, -1420]
17:06:46 Model found (61.10s, +0.10s): [-380, -1421]
17:06:46 Model found (61.17s, +0.07s): [-380, -1422]
17:06:46 Model found (61.24s, +0.07s): [-380, -1423]
17:06:47 Model found (61.34s, +0.10s): [-380, -1424]
17:06:47 Model found (61.42s, +0.08s): [-380, -1425]
17:06:47 Model found (61.52s, +0.10s): [-380, -1426]
17:06:47 Model found (61.59s, +0.06s): [-380, -1427]
17:06:47 Model found (61.68s, +0.09s): [-380, -1428]
17:06:47 Model found (61.78s, +0.10s): [-380, -1429]
17:06:47 Model found (61.85s, +0.07s): [-380, -1430]
17:06:47 Model found (61.92s, +0.07s): [-380, -1431]
17:06:47 Model found (62.01s, +0.09s): [-380, -1432]
17:06:47 Model found (62.10s, +0.09s): [-380, -1433]
17:06:47 Model found (62.17s, +0.08s): [-380, -1434]
17:06:47 Model found (62.25s, +0.08s): [-380, -1435]
17:06:48 Model found (62.32s, +0.07s): [-380, -1436]
17:06:48 Model found (62.41s, +0.09s): [-380, -1437]
17:06:48 Model found (62.48s, +0.07s): [-380, -1438]
17:06:48 Model found (62.55s, +0.07s): [-380, -1439]
17:06:48 Model found (62.61s, +0.06s): [-380, -1440]
17:06:48 Model found (62.69s, +0.08s): [-380, -1441]
17:06:48 Model found (62.76s, +0.07s): [-380, -1442]
17:06:48 Model found (62.82s, +0.06s): [-380, -1443]
17:06:48 Model found (62.89s, +0.06s): [-380, -1444]
17:06:48 Model found (62.95s, +0.06s): [-380, -1445]
17:06:48 Model found (63.01s, +0.06s): [-380, -1446]
17:06:48 Model found (63.09s, +0.08s): [-380, -1447]
17:06:48 Model found (63.21s, +0.11s): [-380, -1448]
17:06:49 Model found (63.30s, +0.10s): [-380, -1449]
17:06:49 Model found (63.42s, +0.11s): [-380, -1450]
17:06:49 Model found (63.51s, +0.09s): [-380, -1451]
